Codi centre,Denominació completa,Nom naturalesa,Nom titularitat,Adreça,Codi postal,Nom comarca,Codi comarca,Codi municipi (5 digits),Codi municipi (6 digits),Nom municipi,Codi districte municipal,Nom DM,Coordenades UTM X,Coordenades UTM Y,Coordenades GEO X,Coordenades GEO Y,Estudis
17002065,Escola Les Moreres - ZER Vall de Ter,Públic,Departament d'Educació,"c. Del Quintà, 2",17869,Ripollès,31,17091,170911,Llanars,00,,445883.776,4685606.841,2.343253624,42.320824651,EINF2C EPRI
17002077,Escola Pompeu Fabra,Públic,Departament d'Educació,"c. Les Esplanes, s/n",17490,Alt Empordà,02,17092,170926,Llançà,00,,512490.726,4689733.337,3.151679446,42.359768781,EINF2C EPRI
17002089,Escola de Llers,Públic,Departament d'Educació,"c. Orient, 2",17730,Alt Empordà,02,17093,170932,Llers,00,,492803.519,4682152.709,2.912704838,42.291563579,EINF2C EPRI
17002090,Escola Jaume I - ZER Cerdanya,Públic,Departament d'Educació,"av. de Catalunya, 91",17527,Cerdanya,15,17094,170947,Llívia,00,,416004.061,4701653.239,1.97834286,42.462666518,EINF2C EPRI
17002107,Escola Pere Torrent,Públic,Departament d'Educació,"c. Escoles, s/n",17310,Selva,34,17095,170950,Lloret de Mar,00,,486918.754,4616958.813,2.842773357,41.704309291,EINF2C EPRI
17002119,Immaculada Concepció,Privat,Ordes i Congregacions Catòlics,"c. de Felip Gibert, 38",17310,Selva,34,17095,170950,Lloret de Mar,00,,487231.197,4616794.899,2.846532186,41.702837977,EINF2C EPRI ESO BATX
17002168,Escola Les Salines - ZER Les Salines,Públic,Departament d'Educació,"c. Les Salines, s/n",17720,Alt Empordà,02,17102,171024,Maçanet de Cabrenys,00,,479379.146,4692847.101,2.749482754,42.387638209,EINF2C EPRI
17002181,Escola Sant Jordi,Públic,Departament d'Educació,"c. Escoles, 23",17412,Selva,34,17103,171030,Maçanet de la Selva,00,,477406.349,4625010.323,2.728136749,41.776615746,EINF2C EPRI
17002193,Escola Santa Fe,Públic,Departament d'Educació,"Pujada del Castell, s/n",17481,Gironès,20,17169,171693,Sant Julià de Ramis,00,,488872.924,4655350.996,2.865538041,42.05013113,EINF1C EINF2C EPRI
17002201,Escola Finestres,Públic,Departament d'Educació,"Can Caló, s/n",17830,Garrotxa,19,17105,171058,Mieres,00,,470106.223,4663465.251,2.638345387,42.122721252,EINF2C EPRI
17002247,Escola Mont Cós - ZER El Llierca,Públic,Departament d'Educació,"c. Escoles, 1",17855,Garrotxa,19,17109,171096,Montagut i Oix,00,,466693.815,4675622.399,2.596367375,42.232072995,EINF2C EPRI
17002259,Escola Torres Jonama,Públic,Departament d'Educació,"c. Torres Jonama, 9",17253,Baix Empordà,10,17110,171100,Mont-ras,00,,512132.005,4639621.01,3.146281099,41.908441454,EINF2C EPRI
17002260,Escola Joaquim Vallmajó,Públic,Departament d'Educació,"c. Escoles, 12",17744,Alt Empordà,02,17111,171117,Navata,00,,488688.553,4674652.295,2.862935732,42.22396422,EINF2C EPRI
17002296,Escola Malagrida,Públic,Departament d'Educació,"av. de les Corts Catalanes, 30",17800,Garrotxa,19,17114,171143,Olot,00,,457668.381,4669576.901,2.487433588,42.1771903,EINF2C EPRI
17002314,Escola Pla de Dalt,Públic,Departament d'Educació,"c. Alforja, 2-4",17800,Garrotxa,19,17114,171143,Olot,00,,456484.476,4670418.569,2.473036083,42.184705422,EINF2C EPRI
17002326,Escola Volcà Bisaroques,Públic,Departament d'Educació,"c. Pare Nolasc del Molar, 6",17800,Garrotxa,19,17114,171143,Olot,00,,458717.304,4670097.07,2.50009696,42.181931004,EINF2C EPRI
17002341,Escola Pia d'Olot,Privat,Ordes i Congregacions Catòlics,"pl. Clarà, 9",17800,Garrotxa,19,17114,171143,Olot,00,,457418.75,4669977.883,2.484381751,42.180788006,EINF2C EPRI ESO AA01 CFPM CFPS PFI TEGM
17002387,Institut Montsacopa,Públic,Departament d'Educació,"av. Joan de Cabirol, s/n",17800,Garrotxa,19,17114,171143,Olot,00,,457545.214,4670989.94,2.485839199,42.18990948,ESO BATX CFPM CFPS
17002399,Institut La Garrotxa,Públic,Departament d'Educació,"ctra. de Riudaura, 110",17800,Garrotxa,19,17114,171143,Olot,00,,456102.625,4670279.096,2.468422672,42.183427998,ESO BATX CFPM AA03 CFPS
17002405,Petit Plançó,Privat,Cooperatives,"c. Joaquim Vayreda, 23",17800,Garrotxa,19,17114,171143,Olot,00,,457798.328,4669773.896,2.488992693,42.178971465,EINF2C EPRI ESO
17002417,Cor de Maria,Privat,Fundacions,"c. Esglaiers, 1",17800,Garrotxa,19,17114,171143,Olot,00,,457773.702,4670185.323,2.488664664,42.182675459,EINF2C EPRI ESO
17002429,Escola Sant Roc,Públic,Departament d'Educació,"c. Còrdova, 1",17800,Garrotxa,19,17114,171143,Olot,00,,456164.86,4668907.001,2.469279604,42.171074394,EINF2C EPRI
17002430,Escola Maria Pagès i Trayter,Públic,Departament d'Educació,"c. Sa Mar, s/n",17772,Alt Empordà,02,17115,171156,Ordis,00,,492517.141,4674109.704,2.909334823,42.219123533,EINF2C EPRI
17002442,Escola La Vall,Públic,Departament d'Educació,"c. França, s/n",17161,Selva,34,17116,171169,Osor,00,,463285.374,4643935.848,2.557052,41.946543,EINF2C EPRI
17002481,Escola Torres Jonama,Públic,Departament d'Educació,"c. Escoles, 10",17200,Baix Empordà,10,17117,171175,Palafrugell,00,,513806.842,4640243.449,3.166489858,41.914020116,EINF2C EPRI
17002491,Escola Josep Barceló i Matas,Públic,Departament d'Educació,"c. Pals, 75",17200,Baix Empordà,10,17117,171175,Palafrugell,00,,513472.653,4641000.821,3.16247736,41.920847357,EINF2C EPRI
17002508,Prats de la Carrera,Privat,Església Catòlica,"c. Clavé, 33",17200,Baix Empordà,10,17117,171175,Palafrugell,00,,513288.077,4640531.919,3.160240853,41.916627201,ESO
17002511,Vedruna Palafrugell,Privat,Fundacions,"c. Sant Sebastià, 85",17200,Baix Empordà,10,17117,171175,Palafrugell,00,,514067.508,4640548.932,3.169640375,41.91676693,EINF1C EINF2C EPRI
17002521,Sant Jordi,Privat,Societats Mercantils,"c. Tarongeta, 65",17200,Baix Empordà,10,17117,171175,Palafrugell,00,,513934.784,4640608.107,3.168041256,41.917302261,EINF2C EPRI ESO
17002533,LLI privada Ca la Tulita,Privat,Societats Mercantils,"c. Caritat, 50",17200,Baix Empordà,10,17117,171175,Palafrugell,00,,513461.96,4640560.66,3.162338353,41.916883117,EINF1C
17002545,Institut Frederic Martí i Carreras,Públic,Departament d'Educació,"c. Frederic Martí Carreras, 13",17200,Baix Empordà,10,17117,171175,Palafrugell,00,,513720.803,4640025.83,3.165447303,41.91206157,ESO BATX
17002557,Institut Baix Empordà,Públic,Departament d'Educació,"av. de les Corts Catalanes, s/n",17200,Baix Empordà,10,17117,171175,Palafrugell,00,,513795.389,4639935.256,3.166344547,41.911244496,ESO BATX AA01 CFPM AA03 CFPS PFI
17002569,Escola La Vila,Públic,Departament d'Educació,"c. Foment, 18",17230,Baix Empordà,10,17118,171181,Palamós,00,,511008.099,4633104.91,3.132608296,41.849768485,EINF2C EPRI
17002570,La Salle,Privat,Ordes i Congregacions Catòlics,"c. Sant Josep, 15",17230,Baix Empordà,10,17118,171181,Palamós,00,,510921.254,4633162.087,3.131563184,41.850284674,EINF2C EPRI
17002594,Vedruna Palamós,Privat,Fundacions,"c. Xaloc, 22",17230,Baix Empordà,10,17118,171181,Palamós,00,,511153.434,4633050.387,3.134358034,41.84927537,EINF2C EPRI ESO BATX
17002624,Escola Martí Inglès,Públic,Departament d'Educació,"av. Mas Oriol, s/n",17495,Alt Empordà,02,17120,171208,Palau-saverdera,00,,511915.401,4684146.402,3.144577794,42.30946125,EINF2C EPRI
17002651,Escola Quermany,Públic,Departament d'Educació,"c. Aniceta Figueras, 14",17256,Baix Empordà,10,17124,171241,Pals,00,,512406.205,4646697.477,3.149736271,41.972173025,EINF2C EPRI
17002703,Escola Pau,Públic,Departament d'Educació,"c. Migjorn, 2",17494,Alt Empordà,02,17128,171289,Pau,00,,509700.86,4684943.837,3.117720687,42.316673804,EINF2C EPRI
17002715,Escola Pedra Blanca - ZER Empordanet-Gavarres,Públic,Departament d'Educació,"av. Sant Francesc d'Assís, s/n",17120,Baix Empordà,10,17130,171306,La Pera,00,,498216.174,4651657.448,2.978455076,42.016941506,EINF2C EPRI
17002740,Escola Ramon Muntaner,Públic,Departament d'Educació,"av. Constitució, s/n",17491,Alt Empordà,02,17132,171328,Peralada,00,,501072.906,4684122.635,3.013018286,42.309337599,EINF2C EPRI
17002752,Escola Sant Cristòfol,Públic,Departament d'Educació,"av. Narcís Arnau, 58",17172,Garrotxa,19,17133,171334,Les Planes d'Hostoles,00,,461817.741,4656326.157,2.538540487,42.058065062,EINF2C EPRI
17002764,Escola Núria Morer i Pi - ZER Comte Arnau,Públic,Departament d'Educació,"c. Escoles, 7",17535,Ripollès,31,17134,171349,Planoles,00,,426309.346,4685304.875,2.105764132,42.316498963,EINF1C EINF2C EPRI
17002776,Escola Tramuntana - ZER Empordà,Públic,Departament d'Educació,"c. Carles Jordà, 2",17706,Alt Empordà,02,17135,171352,Pont de Molins,00,,493468.433,4684818.836,2.920740302,42.315581055,EINF2C EPRI
17002791,Escola L'Entorn,Públic,Departament d'Educació,"c. Montseny, 15",17834,Pla de l'Estany,28,17137,171371,Porqueres,00,,481456.891,4661624.544,2.775722781,42.106493713,EINF2C EPRI
17002818,Escola Frigolet,Públic,Departament d'Educació,"Paratge Frigolet, s/n",17834,Pla de l'Estany,28,17137,171371,Porqueres,00,,478793.015,4662808.087,2.743460755,42.117085681,EINF2C EPRI
17002831,Escola Sant Jaume,Públic,Departament d'Educació,"c. Sant Jordi, 2",17497,Alt Empordà,02,17138,171387,Portbou,00,,513111.58,4697321.531,3.15939151,42.428097926,EINF1C EINF2C EPRI
17002879,Escola Les Clisques - ZER Cap de Creus,Públic,Departament d'Educació,"c. Lloia, 2",17489,Alt Empordà,02,17140,171404,El Port de la Selva,00,,516703.753,4687817.973,3.202784039,42.342439805,EINF2C EPRI
17002880,Escola Alfons I,Públic,Departament d'Educació,"av. Schierbeck, 2",17520,Cerdanya,15,17141,171411,Puigcerdà,00,,411934.215,4698757.143,1.929293095,42.436137065,EINF2C EPRI
17002892,Vedruna Puigcerdà,Privat,Fundacions,"c. Carmelites, 4",17520,Cerdanya,15,17141,171411,Puigcerdà,00,,411938.527,4698250.273,1.92942321,42.431573488,EINF1C EINF2C EPRI ESO
17002922,Escola Santa Margarida,Públic,Departament d'Educació,"c. del Tren, s/n",17242,Gironès,20,17142,171426,Quart,00,,486702.673,4642943.922,2.83959319,41.938351343,EINF2C EPRI
17002983,Escola El Bruc,Públic,Departament d'Educació,"Urbanització Can Salvà, s/n",17404,Selva,34,17146,171463,Riells i Viabrea,00,,463140.135,4619603.831,2.556814357,41.727386186,EINF2C EPRI
17002995,Escola Joan Maragall,Públic,Departament d'Educació,"ctra. Barcelona, 8",17500,Ripollès,31,17147,171479,Ripoll,00,,433304.607,4671743.801,2.192203088,42.195007064,EINF2C EPRI
17003011,Salesians Ripoll,Privat,Ordes i Congregacions Catòlics,"c. Viñas, 1",17500,Ripollès,31,17147,171479,Ripoll,00,,432976.012,4672259.948,2.188164124,42.199627104,EINF1C EINF2C EPRI
17003021,Vedruna Ripoll,Privat,Fundacions,"c. Berenguer, 10",17500,Ripollès,31,17147,171479,Ripoll,00,,432980.842,4672429.374,2.188203094,42.201153272,EINF1C EINF2C EPRI ESO BATX
17003070,Escola Josep Boada,Públic,Departament d'Educació,"av. Mas Rechs, s/n",17421,Selva,34,17148,171485,Riudarenes,00,,476169.373,4630545.745,2.713030367,41.826436375,EINF2C EPRI
17003082,Escola Lluís Castells,Públic,Departament d'Educació,"c. de l'Escola, s/n",17814,Garrotxa,19,17149,171498,Riudaura,00,,451294.146,4671038.993,2.410133386,42.189986974,EINF2C EPRI
17003094,Escola de Riudellots de la Selva,Públic,Departament d'Educació,"av. Girona, s/n",17457,Selva,34,17150,171501,Riudellots de la Selva,00,,483474.461,4638196.979,2.800784204,41.895535836,EINF2C EPRI
17003124,Centre escolar Empordà,Privat,Cooperatives,"c. Riera Ginjoler, 196",17480,Alt Empordà,02,17152,171523,Roses,00,,515316.478,4679701.479,3.185727587,42.269370093,EINF1C EINF2C EPRI ESO BATX CFPM AA03 CFPS
17003136,Escola Narcís Monturiol,Públic,Departament d'Educació,"av. Rhode, 239",17480,Alt Empordà,02,17152,171523,Roses,00,,514960.5,4678500.775,3.181380023,42.25856321,EINF2C EPRI
17003151,Escola Silvestre Santaló,Públic,Departament d'Educació,"c. Folch i Torras, 8",17190,Gironès,20,17155,171557,Salt,00,,482612.65,4646331.477,2.790155115,41.96878244,EINF2C EPRI
17003161,Pompeu Fabra,Privat,Societats Mercantils,"c. Sant Dionís, 41",17190,Gironès,20,17155,171557,Salt,00,,482684.043,4647195.567,2.790991292,41.976566569,EINF2C EPRI ESO
17003185,Vilagran,Privat,Persones Físiques,"c. Cervantes, 13-15",17190,Gironès,20,17155,171557,Salt,00,,483096.031,4647058.032,2.795968032,41.975336785,EINF2C EPRI ESO
17003197,FEDAC - Salt,Privat,Fundacions,"c. Llarg, 60",17190,Gironès,20,17155,171557,Salt,00,,482197.718,4646996.923,2.785127262,41.97476662,EINF2C EPRI ESO
17003203,Institut Salvador Espriu,Públic,Departament d'Educació,"av. Folch i Torres, 4",17190,Gironès,20,17155,171557,Salt,00,,482503.666,4646304.893,2.788840608,41.968540597,ESO BATX AA01 CFPM
17003215,Escola La Farga,Públic,Departament d'Educació,"c. Sant Dionís, 40",17190,Gironès,20,17155,171557,Salt,00,,482611.692,4647123.522,2.790120133,41.975916094,EINF2C EPRI
17003227,Escola Sant Sebastià - ZER Requesens,Públic,Departament d'Educació,"c. Icària, 17",17751,Alt Empordà,02,17158,171582,Sant Climent Sescebes,00,,498484.566,4690832.972,2.981594611,42.369771043,EINF2C EPRI
17003264,Escola Gaziel,Públic,Departament d'Educació,"c. Del Mall, 98. Apartat 165",17220,Baix Empordà,10,17160,171609,Sant Feliu de Guíxols,00,,502004.9,4625766.239,3.024127098,41.783743413,EINF2C EPRI
17003288,Cor de Maria - Sant Josep,Privat,Fundacions,"c. Ferran Romaguera, 20",17220,Baix Empordà,10,17160,171609,Sant Feliu de Guíxols,00,,502305.186,4625665.181,3.027740364,41.782832371,EINF2C EPRI ESO
17003306,Institut Sant Elm,Públic,Departament d'Educació,"c. Abat Sunyer, s/n",17220,Baix Empordà,10,17160,171609,Sant Feliu de Guíxols,00,,502441.513,4624772.478,3.029377241,41.774791373,ESO BATX
17003318,Institut de Sant Feliu de Guíxols,Públic,Departament d'Educació,"c. Canigó, 41",17220,Baix Empordà,10,17160,171609,Sant Feliu de Guíxols,00,,502057.921,4626897.65,3.024769076,41.7939339,ESO BATX AA01 CFPM CFPS
17003321,Escola Mossèn Baldiri Reixach,Públic,Departament d'Educació,"c. Corunya, s/n",17220,Baix Empordà,10,17160,171609,Sant Feliu de Guíxols,00,,502353.118,4626616.881,3.028320947,41.791404193,EINF2C EPRI
17003343,Escola Rocalba,Públic,Departament d'Educació,"c. Les Valls, 15",17174,Garrotxa,19,17161,171616,Sant Feliu de Pallerols,00,,459280.026,4658371.146,2.50772921,42.076355289,EINF2C EPRI
17003392,Escola Agustí Gifre,Públic,Departament d'Educació,"pl. del Poble, s/n",17150,Gironès,20,17163,171637,Sant Gregori,00,,480135.495,4648768.293,2.760176665,41.990671383,EINF2C EPRI
17003422,Escola Taialà,Públic,Departament d'Educació,"ctra. de Taialà, 75 (Germans Sàbat)",17007,Gironès,20,17079,170792,Girona,00,,483798.713,4649169.833,2.804391197,41.994371774,EINF2C EPRI
17003434,Escola Guilleries,Públic,Departament d'Educació,"c. Sant Josep, 12",17403,Selva,34,17164,171642,Sant Hilari Sacalm,00,,459070.87,4636652.574,2.506712693,41.880739009,EINF2C EPRI
17003446,Sant Josep,Privat,Associacions,"c. Sant Benet, 25",17403,Selva,34,17164,171642,Sant Hilari Sacalm,00,,459130.587,4636450.095,2.507446405,41.878918468,EPRI ESO
17003461,Escola Les Escomes,Públic,Departament d'Educació,"c. Àngela Brutau, 1",17854,Garrotxa,19,17165,171655,Sant Jaume de Llierca,00,,467578.55,4673471.744,2.607209177,42.212741197,EINF2C EPRI
17003471,Escola Sant Jordi,Públic,Departament d'Educació,"c. Escoles, 2",17464,Gironès,20,17166,171668,Sant Jordi Desvalls,00,,496269.829,4657665.605,2.954909019,42.071047726,EINF2C EPRI
17003537,Escola de Vallfogona de Ripollès - ZER Comte Arnau,Públic,Departament d'Educació,"c. Puig Estela, 15",17862,Ripollès,31,17170,171707,Vallfogona de Ripollès,00,,442568.84,4671918.153,2.304383148,42.197312445,EINF2C EPRI
17003598,Escola Vallgarriga,Públic,Departament d'Educació,"c. Ferrer Fàbrega, 1",17475,Alt Empordà,02,17175,171753,Sant Miquel de Fluvià,00,,499236.355,4669357.379,2.990753627,42.176357862,EINF1C EINF2C EPRI
17003616,Escola Els Pinets - ZER Vall de Ter,Públic,Departament d'Educació,"c. del Ter, 2-4",17864,Ripollès,31,17177,171772,Sant Pau de Segúries,00,,447706.369,4679035.995,2.36596478,42.26177442,EINF2C EPRI
17003628,Escola Llagut,Públic,Departament d'Educació,"c. Escoles, s/n",17470,Alt Empordà,02,17178,171788,Sant Pere Pescador,00,,506901.883,4670715.594,3.083585555,42.188560382,EINF2C EPRI
17003631,Escola La Pedra Dreta - ZER Empordanet-Gavarres,Públic,Departament d'Educació,"av. Catalunya, 2",17116,Baix Empordà,10,17901,179011,"Cruïlles, Monells i Sant Sadurní l'Heura",00,,499274.692,4644937.133,2.99124808,41.956415406,EINF2C EPRI
17003641,Escola Sant Salvador d'Horta,Públic,Departament d'Educació,"pg. Sant Salvador, 12",17430,Selva,34,17180,171805,Santa Coloma de Farners,00,,472063.847,4634433.636,2.663408695,41.861319521,EINF2C EPRI
17003653,La Salle,Privat,Ordes i Congregacions Catòlics,"c. Pujada la Salle, 10",17430,Selva,34,17180,171805,Santa Coloma de Farners,00,,472241.463,4634667.224,2.665537714,41.863429633,EINF2C EPRI ESO
17003689,Escola Pedralta,Públic,Departament d'Educació,"av. de l'Església, 4",17246,Baix Empordà,10,17181,171812,Santa Cristina d'Aro,00,,500137.725,4629185.427,3.001658181,41.814542507,EINF2C EPRI
17003719,Escola Joan Maragall,Públic,Departament d'Educació,"c. Escoles, 26",17811,Garrotxa,19,17184,171848,Santa Pau,00,,464578.716,4666096.624,2.571315545,42.146189686,EINF2C EPRI
17003732,Escola Castanyer,Públic,Departament d'Educació,"c. Castanyer, 4",17857,Garrotxa,19,17185,171851,Sant Joan les Fonts,00,,459388.429,4673547.086,2.507982529,42.213037059,EINF2C EPRI
17003756,Escola Montserrat,Públic,Departament d'Educació,"c. Afores, s/n",17840,Gironès,20,17186,171864,Sarrià de Ter,00,,484158.233,4651504.786,2.808668891,42.0154091,EINF2C EPRI
17003768,Escola Els Terraprims,Públic,Departament d'Educació,"c. Banyoles, 8",17465,Alt Empordà,02,17187,171870,"Saus, Camallera i Llampaies",00,,497088.122,4663602.145,2.964771112,42.12451871,EINF2C EPRI
17003781,Escola Juncadella,Públic,Departament d'Educació,"ctra. Escoles, 2",17165,Selva,34,17189,171899,La Cellera de Ter,00,,468476.953,4646684.525,2.619537759,41.971523605,EINF2C EPRI
17003801,Escola Bora Gran,Públic,Departament d'Educació,"pl. de l'Ajuntament, 6",17852,Pla de l'Estany,28,17190,171903,Serinyà,00,,478921.27,4668665.599,2.744800466,42.169843956,EINF2C EPRI
17003823,Escola Verdaguer,Públic,Departament d'Educació,"c. de Jacint Verdaguer, 72",17410,Selva,34,17193,171931,Sils,00,,478639.634,4628996.014,2.742832925,41.812548627,EINF2C EPRI
17003860,Escola Portitxol,Públic,Departament d'Educació,"c. Roca Maura, 15",17258,Baix Empordà,10,17199,171997,Torroella de Montgrí,00,,516401.497,4655733.366,3.19820959,42.053482594,EINF2C EPRI
17003872,Escola Guillem de Montgrí,Públic,Departament d'Educació,"c. del Roser, 81-83",17257,Baix Empordà,10,17199,171997,Torroella de Montgrí,00,,510246.617,4654845.945,3.123813492,42.04559432,EINF2C EPRI
17003896,Sant Gabriel,Privat,Ordes i Congregacions Catòlics,"rda. Pau Casals, 121",17257,Baix Empordà,10,17199,171997,Torroella de Montgrí,00,,510719.214,4654865.144,3.129524394,42.045760936,EINF2C EPRI ESO BATX
17003902,Escola Joan Roura i Parella - ZER El Llierca,Públic,Departament d'Educació,"c. Sales, s/n",17853,Garrotxa,19,17200,172001,Tortellà,00,,469686.066,4675754.007,2.632622383,42.233380139,EINF2C EPRI
17003926,Escola Ignasi Melé i Farré,Públic,Departament d'Educació,"av. Puerto Rico, 18",17320,Selva,34,17202,172023,Tossa de Mar,00,,494017.71,4618970.102,2.928077124,41.722510252,EINF2C EPRI
